,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
37,Corazzini Asphalt; Inc.,1.0,[52C10280],2019.0,Asphalt and Road Material,0.0,0.0,0.0,400.0,2500.0,2350.0,4000.0,3400.0,3500.0,2000.0,1500.0,2300.0,21950.0,NR,Transfer Facility
38,Crown Recycling Facility,1.0,[52W01],2019.0,Concrete,7674.42,10108.56,9872.6,14863.18,12697.85,10949.84,15574.76,14290.74,10824.57,9255.31,5163.58,5366.56,126641.97,35.0,Transfer Facility
39,Crown Recycling Facility,1.0,[52W01],2019.0,General C&D Debris,3154.46,3191.68,3808.98,4227.5,4265.56,3261.33,3413.2,3343.21,3490.32,3832.95,3163.49,2608.61,41761.29,35.0,Transfer Facility
40,Custom Earth Recycling LLC,1.0,[52W119R],2020.0,Fill,677.7,664.2,815.4,1661.85,4037.85,8599.15,3356.1,4310.55,5859.0,2151.9,1374.3,1171.8,34679.8,NR,Transfer Facility
41,Custom Earth Recycling LLC,1.0,[52W119R],2019.0,Wood,1117.8,1029.1,1050.3,1100.25,1029.75,1215.0,839.7,1687.5,2176.2,1459.35,510.3,286.1,13501.35,NR,Transfer Facility
42,Cutchogue Materials and Recycling,1.0,[52W169R],2019.0,Concrete,188.8,92.0,126.9,196.9,129.4,176.3,189.9,85.6,152.2,204.5,199.3,138.0,1879.8,NR,Transfer Facility
43,Cutchogue Materials and Recycling,1.0,[52W169R],2019.0,Yard Waste,103.5,49.5,114.0,100.0,89.3,107.3,150.9,170.0,96.6,130.9,153.2,45.2,1310.4,NR,Transfer Facility
44,Cutchogue Materials and Recycling,1.0,[52W169R],2020.0,Concrete,460.6,561.6,717.1,66.7,426.2,362.6,523.2,428.2,446.9,888.8,1428.1,848.4,7158.4,NR,Transfer Facility
45,Cutchogue Materials and Recycling,1.0,[52W169R],2020.0,Yard Waste,40.8,43.4,39.3,24.7,183.9,75.9,91.8,172.7,84.8,70.6,58.4,59.2,945.5,NR,Transfer Facility
46,D'Agostino Brothers Enterprises Inc,1.0,[52W100R],2019.0,Asphalt and Road Material,0.0,0.0,440.0,590.0,1130.0,1220.0,950.0,1450.0,960.0,690.0,340.0,280.0,8050.0,NR,Transfer Facility
47,D'Agostino Brothers Enterprises Inc,1.0,[52W100R],2019.0,Masonry,0.0,0.0,0.0,0.0,25.0,40.0,22.0,35.0,20.0,0.0,0.0,0.0,140.0,NR,Transfer Facility
48,D'Agostino Brothers Enterprises Inc,1.0,[52W100R],2019.0,Concrete,0.0,0.0,360.0,470.0,720.0,850.0,620.0,740.0,550.0,420.0,180.0,120.0,5030.0,NR,Transfer Facility
49,D'Agostino Brothers Enterprises Inc,1.0,[52W100R],2019.0,Soil,0.0,0.0,0.0,40.0,65.0,145.0,60.0,40.0,50.0,75.0,50.0,0.0,525.0,NR,Transfer Facility
50,Daniel Finley Allen & Co Inc,1.0,[30M19],2019.0,Concrete,30.62,25.3,35.94,127.0,140.5,111.76,101.5,107.5,110.65,95.58,97.2,75.97,1059.52,70.0,Transfer Facility
51,Daniel Finley Allen & Co Inc,1.0,[30M19],2019.0,General C&D Debris,2110.0,2200.0,2495.0,2075.0,2145.0,2143.0,2525.0,2580.0,2635.0,1875.0,1999.0,2061.0,26843.0,71.0,Transfer Facility
52,Daniel Finley Allen & Co Inc,1.0,[30M19],2019.0,Soil,275.0,330.0,370.0,322.0,352.0,389.0,526.0,537.0,515.0,212.0,195.0,228.0,4251.0,33.0,Transfer Facility
53,Daniel Finley Allen & Co Inc,1.0,[30M19],2019.0,Wood,25.0,31.0,64.0,80.0,67.0,93.0,107.0,112.0,101.0,89.0,80.0,71.0,920.0,40.0,Transfer Facility
54,Daniel Finley Allen & Co Inc,1.0,[30M19],2019.0,Metals,95.0,99.0,117.85,81.0,83.0,88.45,79.0,98.0,101.0,93.0,85.0,89.0,1109.3,100.0,Transfer Facility
55,DeChiaro Associates Corp. (Lot 2 & 2A),1.0,[52CP0246],2019.0,Concrete,455.37,178.88,328.09,224.89,239.51,90.3,663.92,567.17,528.04,484.18,245.1,252.84,4258.29,NR,Transfer Facility
57,Dejana Industries Inc,1.0,[30W21R],2019.0,Old Corrugated Containers,4.55,4.01,6.21,8.29,4.28,4.29,6.81,1.62,6.41,0.0,5.79,4.61,56.87,NR,Transfer Facility
58,Emil Norsic & Son Inc,1.0,[52W113],2019.0,Concrete,19.0,17.0,27.0,39.0,60.0,50.0,23.0,68.0,50.0,30.0,32.0,34.0,449.0,NR,Transfer Facility
59,Emil Norsic & Son Inc,1.0,[52W113],2019.0,General C&D Debris,1580.0,997.0,990.0,1235.0,1349.0,995.0,914.0,1049.0,1177.0,1403.0,1273.0,1106.0,14068.0,NR,Transfer Facility
60,Emil Norsic & Son Inc,1.0,[52W113],2019.0,Wood,11.0,8.0,87.0,91.0,62.0,48.0,106.0,51.0,54.0,45.0,25.0,38.0,626.0,NR,Transfer Facility
61,Emil Norsic & Son Inc,1.0,[52W113],2019.0,Yard Waste,0.0,0.0,14.0,37.0,7.0,2.0,0.0,0.0,3.0,2.0,14.0,63.0,142.0,NR,Transfer Facility
