,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
128,JPD Masonry & Landscape Supply LLC,1.0,[52C10284],2019.0,Concrete,9.03,4.3,44.83,257.57,881.87,318.2,643.28,712.73,732.72,1102.95,705.2,624.58,6037.26,NR,Transfer Facility
129,Kenneth P Edwards,1.0,[52W31R],2019.0,Masonry,308.31,309.87,638.12,778.3,994.59,679.19,724.55,648.66,712.51,876.34,539.22,236.5,7446.16,NR,Transfer Facility
130,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2020.0,Concrete,5932.74,3516.82,4785.42,2183.67,2875.5,4488.44,6676.1,5225.74,5266.14,6385.22,5133.83,4661.15,57130.77,NR,Transfer Facility
131,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2020.0,Masonry,165.64,486.82,792.3,50.81,382.58,1022.24,596.0,968.8,564.8,440.8,419.2,764.8,6654.79,NR,Transfer Facility
132,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2020.0,Masonry,136.35,33.75,234.9,29.7,30.38,22.95,71.55,59.4,81.0,26.33,195.74,36.45,958.5,NR,Transfer Facility
133,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2020.0,Asphalt and Road Material,505.05,387.08,444.35,634.22,292.5,374.4,942.83,267.15,217.43,300.3,267.15,127.73,4760.19,NR,Transfer Facility
134,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2020.0,Soil,209.44,378.56,250.88,117.6,173.6,62.72,416.08,181.44,242.48,122.08,166.88,24.64,2346.4,NR,Transfer Facility
135,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2019.0,Concrete,313.04,662.34,1096.5,1248.72,739.6,841.94,1501.13,1064.25,900.64,1267.06,1320.1,856.13,11811.45,NR,Transfer Facility
136,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2019.0,Masonry,94.6,36.98,454.08,99.76,56.33,20.64,169.85,54.74,20.0,22.79,5.59,0.43,1035.79,NR,Transfer Facility
137,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2019.0,Asphalt and Road Material,22.82,40.5,62.4,72.35,136.7,62.01,41.39,84.83,68.06,135.53,25.94,17.2,769.73,NR,Transfer Facility
138,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2019.0,Soil,73.14,51.52,26.22,127.88,271.86,113.95,57.29,17.94,83.8,110.86,70.84,56.12,1061.42,NR,Transfer Facility
139,Kurrass Materials Inc (East Patchogue Contracting Corp),1.0,[52W45R],2019.0,General C&D Debris,373.67,249.83,549.54,234.34,239.08,173.72,303.58,443.55,141.9,259.43,86.86,58.48,3113.98,NR,Transfer Facility
140,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Asphalt and Road Material,678.0,672.0,273.0,1314.0,774.0,221.0,442.0,755.0,1675.0,406.0,739.0,746.0,8695.0,NR,Transfer Facility
141,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Masonry,98.0,1036.0,226.0,222.0,345.0,65.0,102.0,155.0,114.0,84.0,137.0,30.0,2614.0,NR,Transfer Facility
142,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Concrete,1292.0,1418.0,2172.0,3162.0,3226.0,2899.0,3171.0,2393.0,3730.0,2521.0,2132.0,1499.0,29615.0,NR,Transfer Facility
143,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,General C&D Debris,3935.0,4112.0,5492.0,5227.0,5774.0,5051.0,5747.0,5781.0,7177.0,5385.0,4976.0,4410.0,63067.0,NR,Transfer Facility
144,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Fill,5843.0,4747.0,5161.0,9569.0,6942.0,5649.0,7096.0,9817.0,8789.0,7961.0,5596.0,2663.0,79833.0,NR,Transfer Facility
145,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Yard Waste,95.0,81.0,205.0,264.0,276.0,168.0,194.0,191.0,346.0,245.0,266.0,95.0,2426.0,NR,Transfer Facility
146,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Asphalt Roofing Shingles,33.0,5.0,23.0,83.0,84.0,77.0,14.0,102.0,39.0,42.0,56.0,30.0,588.0,NR,Transfer Facility
147,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Fill,581.0,540.0,1025.0,1643.0,1971.0,1701.0,1841.0,1459.0,1157.0,1396.0,1227.0,775.0,15316.0,NR,Transfer Facility
148,Liotta Brothers Recycling Corp,1.0,[30W08],2019.0,Wood,35.0,0.0,86.0,301.0,184.0,165.0,78.0,70.0,70.0,45.0,125.0,52.0,1211.0,NR,Transfer Facility
149,Long Island Electric Utility Servco LLC,1.0,[30XP0119],2020.0,Soil,179.2,515.2,319.2,190.4,476.0,795.2,856.8,599.2,683.2,638.4,246.4,425.6,5924.8,NR,Transfer Facility
150,Long Island Electric Utility Servco LLC,1.0,[30XP0119],2020.0,General C&D Debris,1384.0,1611.2,672.0,2790.4,816.0,2272.0,1408.0,1968.0,2272.0,1664.0,864.0,1488.0,19209.6,NR,Transfer Facility
151,Long Island Recycling Corp,1.0,[52W164R],2019.0,Concrete,0.0,0.0,550.0,980.0,525.0,440.0,1100.0,900.0,1220.0,475.0,590.0,120.0,6900.0,12.0,Transfer Facility
152,Long Island Recycling Corp,1.0,[52W164R],2019.0,Masonry,0.0,0.0,20.0,0.0,50.0,40.0,210.0,110.0,200.0,800.0,275.0,65.0,1770.0,15.0,Transfer Facility
153,Long Island Recycling Corp,1.0,[52W164R],2019.0,Masonry,0.0,0.0,40.0,200.0,0.0,25.0,0.0,50.0,0.0,110.0,45.0,25.0,495.0,25.0,Transfer Facility
154,Long Island Recycling Corp,1.0,[52W164R],2019.0,Asphalt and Road Material,0.0,0.0,220.0,0.0,40.0,200.0,0.0,22.0,111.0,28.0,45.0,250.0,916.0,20.0,Transfer Facility
155,Long Island Recycling Corp,1.0,[52W164R],2019.0,Soil,0.0,0.0,0.0,0.0,50.0,120.0,150.0,0.0,125.0,57.0,110.0,250.0,862.0,15.0,Transfer Facility
156,LyDel Asphalt Corp,1.0,[52W170R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,80.0,20.0,40.0,60.0,40.0,0.0,0.0,0.0,0.0,240.0,NR,Transfer Facility
157,LyDel Asphalt Corp,1.0,[52W170R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,40.0,40.0,60.0,80.0,260.0,NR,Transfer Facility
158,Marcello Masonry,1.0,[52W175R],2020.0,Asphalt and Road Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,NR,Transfer Facility
159,Marcello Masonry,1.0,[52W175R],2020.0,Masonry,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,NR,Transfer Facility
160,Marcello Masonry,1.0,[52W175R],2020.0,Concrete,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,NR,Transfer Facility
161,Marcello Masonry,1.0,[52W175R],2020.0,"Rock, Stone, and Gravel",6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,NR,Transfer Facility
162,Marcello Masonry,1.0,[52W175R],2020.0,Masonry,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,NR,Transfer Facility
163,Marcello Masonry,1.0,[52W175R],2020.0,Sand,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,NR,Transfer Facility
164,Marcello Masonry,1.0,[52W175R],2020.0,Soil,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,NR,Transfer Facility
165,Marcello Masonry,1.0,[52W175R],2019.0,Sand,20.0,6.0,11.0,2.0,0.0,9.0,0.0,20.0,20.0,10.0,0.0,0.0,98.0,NR,Transfer Facility
166,Marcello Masonry,1.0,[52W175R],2019.0,"Rock, Stone, and Gravel",18.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,20.0,20.0,0.0,102.0,NR,Transfer Facility
167,Marcello Masonry,1.0,[52W175R],2019.0,Concrete,4.0,0.0,6.0,0.0,0.0,10.0,10.0,2.5,5.0,10.0,5.0,0.0,52.5,NR,Transfer Facility
168,Marcello Masonry,1.0,[52W175R],2019.0,Masonry,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,NR,Transfer Facility
169,Marcello Masonry,1.0,[52W175R],2019.0,Masonry,3.0,2.5,4.5,4.0,5.5,1.0,0.0,6.0,0.0,0.0,4.0,0.0,30.5,NR,Transfer Facility
170,Marcello Masonry,1.0,[52W175R],2019.0,"Rock, Stone, and Gravel",5.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,22.0,NR,Transfer Facility
171,Marcello Masonry,1.0,[52W175R],2019.0,Soil,14.0,2.0,0.0,0.0,5.0,0.0,0.0,6.0,10.0,0.0,0.0,10.0,47.0,NR,Transfer Facility
172,MPF Asphalt Recycling Inc,1.0,[52W158R],2019.0,Concrete,740.15,439.27,603.44,1428.62,3499.92,6586.79,3371.47,4150.79,3954.64,5845.27,4330.55,2284.19,37235.1,10.0,Transfer Facility
173,MPF Asphalt Recycling Inc,1.0,[52W158R],2019.0,Asphalt and Road Material,0.0,0.0,1179.68,3171.17,3597.66,2661.24,2603.37,5919.03,1928.88,14.16,4031.75,1173.68,26280.62,15.0,Transfer Facility
174,MPF Asphalt Recycling Inc,1.0,[52W158R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,0.0,73.32,215.08,248.33,107.58,521.37,4604.39,0.0,107.82,5877.89,15.0,Transfer Facility
175,MPF Asphalt Recycling Inc,1.0,[52W158R],2019.0,Fill,0.0,0.0,0.0,0.0,139.51,134.95,107.81,3158.0,2609.07,0.0,0.0,0.0,6149.34,NR,Transfer Facility
176,Nassau Ready Mix Corp (Glen Cove),1.0,[30W24R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.0,55.4,NR,Transfer Facility
177,Nassau Ready Mix Corp (Glen Cove),1.0,[30W24R],2019.0,Concrete,29.6,4.8,116.25,32.0,44.0,89.28,328.4,214.8,152.8,183.2,133.6,121.8,1450.53,NR,Transfer Facility
178,Nassau Ready Mix Corp (Glen Cove),1.0,[30W24R],2019.0,Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.5,0.0,0.0,0.0,0.0,338.5,NR,Transfer Facility
179,Nassau Ready Mix Corp (Glen Cove),1.0,[30W24R],2019.0,Asphalt and Road Material,1120.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.8,NR,Transfer Facility
180,Nassau Ready Mix Corp (Glen Cove),1.0,[30W24R],2019.0,Asphalt and Road Material,181.5,171.67,1273.3,998.8,818.3,526.7,839.2,945.0,848.3,1037.5,1704.0,1055.0,10399.27,NR,Transfer Facility
181,Nassau Ready Mix Corp (Glen Cove),1.0,[30W24R],2019.0,General C&D Debris,0.0,92.6,168.1,273.0,218.1,356.3,711.1,1127.0,689.6,383.3,220.7,240.0,4479.8,NR,Transfer Facility
182,Omni Recycling of Babylon Inc,1.0,[52M19],2019.0,General C&D Debris,6741.0,6707.18,7388.0,10205.66,10002.01,9558.3,9215.05,8609.94,8429.46,8944.71,8399.46,6443.42,100644.19,NR,Transfer Facility
183,Omni Recycling of Babylon Inc,1.0,[52M19],2019.0,Metals,1.93,7.24,8.53,9.62,13.85,4.4,11.7,8.49,8.28,8.15,3.82,15.28,101.29,NR,Transfer Facility
184,Omni Recycling of Babylon Inc,1.0,[52M19],2019.0,Wood,0.0,0.0,21.12,97.85,153.1,133.64,121.88,181.78,140.38,148.53,105.48,128.92,1232.68,NR,Transfer Facility
185,One World Recycling LLC,1.0,[52M37],2019.0,General C&D Debris,11065.55,9302.91,11337.76,12615.73,12365.48,10681.62,12152.15,13236.21,11217.13,10781.87,9986.54,8695.66,133438.61,NR,Transfer Facility
186,Pallets-R-Us Inc,1.0,[52W162R],2019.0,Wood,1882.0,2386.0,2820.0,3602.0,4190.0,4240.0,3950.0,3360.0,3275.0,3816.0,2801.0,2688.0,39010.0,NR,Transfer Facility
187,Paragon Recycling & Transfer Corp,1.0,[52T46],2019.0,General C&D Debris,124.37,62.41,124.33,59.72,37.87,45.09,31.52,59.33,77.97,132.44,97.63,86.51,939.19,NR,Transfer Facility
188,Paumanok Environmental,1.0,[52W151],2020.0,Concrete,0.0,45.0,0.0,0.0,0.0,0.0,0.0,108.0,23.0,0.0,0.0,0.0,176.0,0.54,Transfer Facility
189,Paumanok Environmental,1.0,[52W151],2020.0,General C&D Debris,7601.0,6693.0,7494.0,5676.0,8237.0,9922.0,8787.0,7939.0,7524.0,8003.0,6904.0,7274.0,92054.0,0.95,Transfer Facility
190,Paumanok Environmental,1.0,[52W151],2020.0,Wood,188.0,173.0,206.0,163.0,222.0,345.0,311.0,316.0,433.0,307.0,493.0,324.0,3481.0,0.42,Transfer Facility
191,Paumanok Environmental,1.0,[52W151],2020.0,Other,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,15.0,0.23,Transfer Facility
192,Paumanok Environmental,1.0,[52W151],2020.0,Metals,2.0,4.0,0.0,2.0,5.0,60.0,2.0,5.0,3.0,5.0,7.0,0.0,95.0,NR,Transfer Facility
193,Paumanok Environmental,1.0,[52W151],2020.0,Old Corrugated Containers,4.0,3.0,7.0,10.0,6.0,7.0,10.0,8.0,11.0,12.0,2.0,12.0,92.0,NR,Transfer Facility
194,Paumanok Environmental,1.0,[52W151],2019.0,Concrete,0.0,59.0,37.0,43.0,0.0,95.0,0.0,22.0,21.0,54.0,0.0,0.0,331.0,NR,Transfer Facility
195,Paumanok Environmental,1.0,[52W151],2019.0,General C&D Debris,8188.0,7350.0,8953.0,12031.0,12187.0,10210.0,12139.0,10193.0,7765.0,9502.0,8214.0,6900.0,113632.0,NR,Transfer Facility
196,Paumanok Environmental,1.0,[52W151],2019.0,Metals,16.0,4.0,7.0,5.0,1.0,4.0,1.0,9.0,3.0,5.0,4.0,2.0,61.0,NR,Transfer Facility
197,Paumanok Environmental,1.0,[52W151],2019.0,Wood,204.0,584.0,531.0,432.0,471.0,612.0,310.0,276.0,280.0,223.0,236.0,187.0,4346.0,NR,Transfer Facility
198,Peconic Recycling & Transfer Corp,1.0,[52T120],2019.0,Concrete,147.0,142.0,602.0,294.0,159.0,154.0,152.0,25.0,97.0,169.0,144.0,26.0,2111.0,19.65,Transfer Facility
199,Peconic Recycling & Transfer Corp,1.0,[52T120],2019.0,General C&D Debris,1393.0,1524.0,1206.0,1886.0,1943.0,1945.0,1728.0,1333.0,1223.0,1936.0,1573.0,1224.0,18914.0,92.81,Transfer Facility
200,Peconic Recycling & Transfer Corp,1.0,[52T120],2019.0,Metals,2.0,6.0,9.0,8.0,2.0,5.0,4.0,7.0,3.0,9.0,8.0,1.0,64.0,NR,Transfer Facility
201,Peconic Recycling & Transfer Corp,1.0,[52T120],2019.0,Old Corrugated Containers,115.0,316.0,432.0,481.0,556.0,477.0,506.0,382.0,353.0,413.0,214.0,155.0,4400.0,12.87,Transfer Facility
202,Pond Materials Corp,1.0,[52W188R],2019.0,Concrete,1032.0,911.0,1488.0,1471.0,1599.0,1620.0,1616.0,1618.0,1693.0,1625.0,1393.0,1116.0,17182.0,10.0,Transfer Facility
203,Pond Materials Corp,1.0,[52W188R],2019.0,Masonry,34.0,0.0,0.0,0.0,94.0,0.0,0.0,57.0,70.0,95.0,40.0,0.0,390.0,15.0,Transfer Facility
204,Pond Materials Corp,1.0,[52W188R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,244.0,260.0,229.0,238.0,237.0,223.0,241.0,200.0,0.0,1872.0,10.0,Transfer Facility
205,Pond Materials Corp,1.0,[52W188R],2020.0,Concrete,1104.0,974.0,1592.0,1573.0,1710.0,1722.0,1729.0,1731.0,1811.0,1738.0,1490.0,1194.0,18368.0,NR,Transfer Facility
206,Pond Materials Corp,1.0,[52W188R],2020.0,Masonry,37.0,0.0,0.0,0.0,100.0,0.0,0.0,60.0,75.0,101.0,42.0,0.0,415.0,NR,Transfer Facility
207,Pond Materials Corp,1.0,[52W188R],2020.0,Asphalt and Road Material,0.0,0.0,0.0,261.0,278.0,245.0,254.0,253.0,238.0,257.0,214.0,0.0,2000.0,NR,Transfer Facility
208,Posillico Materials,1.0,[52W189],2019.0,Asphalt and Road Material,0.0,0.0,29.25,506.7,4371.9,4110.6,4758.0,8205.6,27861.6,7115.55,4970.55,83.55,62013.3,NR,Transfer Facility
209,Posillico Materials,1.0,[52W189],2019.0,Asphalt and Road Material,843.96,1557.27,1720.68,3226.08,4632.81,4270.5,4614.48,4294.05,3946.8,5051.28,3491.67,1023.75,38673.33,NR,Transfer Facility
210,Posillico Materials,1.0,[52W189],2019.0,Soil,0.0,727.55,7384.05,15737.31,3541.05,581.13,1404.73,1408.17,5302.25,9118.02,3936.46,301.16,49441.88,NR,Transfer Facility
211,Posillico Materials,1.0,[52W189],2019.0,Fill,74.96,1975.36,164.06,76.39,113.57,231.6,231.84,8954.89,14212.42,25268.9,20264.9,3402.31,74971.2,NR,Transfer Facility
212,Premium Mulch & Materials Inc,1.0,[52W163R],2019.0,Wood,150.56,190.88,225.6,288.16,335.2,339.2,316.0,268.8,262.0,305.28,224.08,215.04,3120.8,NR,Transfer Facility
213,Premium Mulch & Materials Inc,1.0,[52W163R],2019.0,Soil,73.6,100.28,202.4,924.6,914.48,1146.32,1030.4,646.76,953.12,717.14,465.98,78.2,7253.28,NR,Transfer Facility
214,Premium Mulch & Materials Inc,1.0,[52W163R],2019.0,Wood,150.56,190.88,225.6,288.16,335.2,339.2,316.0,268.8,262.0,305.28,224.08,215.04,3120.8,NR,Transfer Facility
215,Premium Mulch & Materials Inc,1.0,[52W163R],2019.0,Soil,160.0,218.0,440.0,2010.0,1988.0,2492.0,2240.0,1406.0,2072.0,1559.0,1013.0,170.0,15768.0,NR,Transfer Facility
216,Quogue (V) - Highway Yard,1.0,[52W161R],2019.0,Wood,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,15.0,41.5,NR,Transfer Facility
217,Rason Asphalt - Glen Cove,1.0,[30W03R],2019.0,Concrete,0.0,0.0,0.0,278.75,0.0,41.41,27.84,95.5,11.06,29.54,0.0,0.0,484.1,15.0,Transfer Facility
218,Rason Asphalt - Glen Cove,1.0,[30W03R],2019.0,Asphalt and Road Material,2078.48,0.0,817.27,2061.99,2366.54,1207.23,1579.48,988.8,1883.84,2414.36,1124.31,597.0,17119.3,5.25,Transfer Facility
219,Rason Asphalt - Glen Cove,1.0,[30W03R],2019.0,Asphalt and Road Material,0.0,0.0,20.96,254.02,2142.17,1798.15,1897.34,2618.78,2630.78,2575.51,1146.44,502.59,15586.74,5.25,Transfer Facility
220,Rason Asphalt - Melville,1.0,[52W24R],2019.0,Concrete,214.07,505.76,293.65,603.54,260.7,9.94,17.01,186.34,575.82,1229.88,270.76,59.18,4226.65,15.0,Transfer Facility
221,Rason Asphalt - Melville,1.0,[52W24R],2019.0,Asphalt and Road Material,3127.76,4950.45,6440.03,11098.58,15305.35,13445.06,22974.0,19062.4,13008.14,13867.53,10836.22,5736.28,139851.8,5.2,Transfer Facility
222,Rason Asphalt - Melville,1.0,[52W24R],2019.0,Asphalt and Road Material,370.78,258.57,1851.48,12280.32,7255.3,18759.58,15229.81,14032.0,16756.37,26494.07,19494.0,1170.03,133952.31,5.2,Transfer Facility
223,Rason Asphalt - North Lawrence,1.0,[30W04R],2019.0,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.7,263.07,0.0,1170.77,15.0,Transfer Facility
224,Rason Asphalt - North Lawrence,1.0,[30W04R],2019.0,Asphalt and Road Material,400.0,235.68,4587.01,5943.31,6206.27,6329.92,6000.28,6584.26,6741.58,11648.36,9618.84,4076.35,68371.86,5.25,Transfer Facility
225,Rason Asphalt - North Lawrence,1.0,[30W04R],2019.0,Asphalt and Road Material,800.0,145.11,5963.48,9845.49,10863.7,10089.01,7874.96,7967.55,22917.19,20446.93,10686.08,6430.45,114029.95,5.25,Transfer Facility
226,Recycled Earth Products Inc,1.0,[52W97],2019.0,Asphalt and Road Material,160.0,90.0,249.0,305.0,189.0,188.0,222.0,156.0,176.0,162.0,102.0,163.0,2162.0,NR,Transfer Facility
227,Recycled Earth Products Inc,1.0,[52W97],2019.0,Masonry,289.0,150.0,265.0,258.0,293.0,211.0,258.0,187.0,196.0,114.0,125.0,93.0,2439.0,NR,Transfer Facility
228,Recycled Earth Products Inc,1.0,[52W97],2019.0,Concrete,1646.0,1279.0,2735.0,2510.0,1871.0,1433.0,2035.0,1656.0,1351.0,1342.0,1076.0,862.0,19796.0,NR,Transfer Facility
229,Recycled Earth Products Inc,1.0,[52W97],2019.0,Masonry,1750.0,617.0,520.0,437.0,492.0,507.0,560.0,484.0,482.0,349.0,315.0,285.0,6798.0,NR,Transfer Facility
230,Recycled Earth Products Inc,1.0,[52W97],2019.0,Soil,416.0,674.0,716.0,606.0,533.0,537.0,596.0,1744.0,640.0,756.0,6513.0,4411.0,18142.0,NR,Transfer Facility
231,Recycled Earth Products Inc,1.0,[52W97],2019.0,Fill,1001.0,2843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3844.0,NR,Transfer Facility
232,Riley Excavating & Contracting Inc,1.0,[52W65R],2019.0,Concrete,0.0,0.0,360.0,580.0,620.0,680.0,720.0,840.0,900.0,1180.0,1340.0,1250.0,8470.0,NR,Transfer Facility
233,Riverhead CB LLC,1.0,[52C10251],2019.0,Concrete,8.6,68.8,27.52,13.76,92.88,72.24,67.08,32.68,41.28,23.65,13.76,0.0,462.25,NR,Transfer Facility
234,Riverhead CB LLC,1.0,[52C10251],2019.0,Asphalt and Road Material,0.0,24.96,0.0,0.0,51.48,0.0,0.0,0.0,1.95,0.0,0.0,0.0,78.39,NR,Transfer Facility
235,Riverhead CB LLC,1.0,[52C10251],2019.0,Sand,10.0,0.0,0.0,0.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0,NR,Transfer Facility
236,Riverhead CB LLC,1.0,[52C10251],2019.0,Fill,1153.68,152.72,73.6,382.72,0.0,112.24,14.72,117.76,104.88,58.88,0.0,0.0,2171.2,NR,Transfer Facility
237,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Concrete,2718.0,2120.0,2114.0,4662.0,6748.0,6723.0,7194.0,8444.0,5385.0,6623.0,4523.0,2578.0,59832.0,NR,Transfer Facility
238,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Masonry,42.0,101.0,19.0,8.0,0.0,45.0,0.0,0.0,0.0,0.0,6.0,0.0,221.0,NR,Transfer Facility
239,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Masonry,317.0,535.0,265.0,113.0,402.0,613.0,1718.0,2230.0,1336.0,934.0,1277.0,674.0,10414.0,NR,Transfer Facility
240,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,"Rock, Stone, and Gravel",65.0,27.0,0.0,0.0,15.0,1.0,0.0,8.0,14.0,0.0,0.0,1.5,131.5,NR,Transfer Facility
241,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Asphalt and Road Material,362.0,23.5,259.0,355.0,797.0,1103.0,1069.0,813.0,431.0,870.0,433.0,101.0,6616.5,NR,Transfer Facility
242,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Sand,8.0,0.0,0.0,0.0,6.0,1.0,3.0,26.0,5.0,20.0,7.0,0.0,76.0,NR,Transfer Facility
243,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Fill,23.0,38.0,913.0,762.0,2222.0,1634.0,2691.0,713.0,1019.0,371.0,493.0,393.0,11272.0,NR,Transfer Facility
244,RJ Murray Enterprises Inc,1.0,[52W172R],2019.0,Fill,927.0,683.0,1245.0,1703.0,3306.0,4489.0,4878.0,4880.0,3947.0,3436.0,3321.0,1803.0,34618.0,NR,Transfer Facility
245,Roanoke Sand & Gravel Corp,1.0,[52W03R],2019.0,"Rock, Stone, and Gravel",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.66,9.75,421.41,NR,Transfer Facility
246,Roberts Asphalt Company,1.0,[52W166R],2019.0,Asphalt and Road Material,0.0,0.0,50.0,160.0,100.0,250.0,250.0,300.0,250.0,400.0,200.0,300.0,2260.0,NR,Transfer Facility
247,Roberts Asphalt Company,1.0,[52W166R],2019.0,Masonry,0.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,28.0,NR,Transfer Facility
248,Roberts Asphalt Company,1.0,[52W166R],2019.0,Concrete,0.0,0.0,125.0,175.0,250.0,375.0,400.0,400.0,300.0,450.0,300.0,450.0,3225.0,NR,Transfer Facility
249,Roberts Asphalt Company,1.0,[52W166R],2019.0,"Rock, Stone, and Gravel",0.0,0.0,5.0,10.0,3.0,5.0,5.0,5.0,5.0,15.0,5.0,3.0,61.0,NR,Transfer Facility
250,Roberts Asphalt Company,1.0,[52W166R],2019.0,Soil,0.0,0.0,150.0,125.0,125.0,130.0,120.0,115.0,100.0,125.0,100.0,80.0,1170.0,NR,Transfer Facility
251,Rock Crush Recycling LLC,1.0,[30W48R],2019.0,Concrete,936.0,3381.0,6408.0,6289.0,8609.0,5721.0,3698.0,3947.0,4181.5,3114.5,4344.0,2238.0,52867.0,NR,Transfer Facility
252,Rock Crush Recycling LLC,1.0,[30W48R],2019.0,Asphalt and Road Material,57.0,143.0,184.5,668.5,543.0,66.0,208.0,96.0,156.0,69.0,61.0,46.0,2298.0,NR,Transfer Facility
253,Rock Crush Recycling LLC,1.0,[30W48R],2019.0,Masonry,136.0,128.0,284.0,193.5,74.0,24.0,187.0,224.0,361.0,21.0,11.0,21.0,1664.5,NR,Transfer Facility
254,S&P Sanitation,1.0,[52W116],2020.0,General C&D Debris,997.05,888.45,940.01,447.53,706.2,1032.34,892.98,811.58,729.33,1001.48,743.44,844.1,10034.49,NR,Transfer Facility
255,S&P Sanitation,1.0,[52W116],2019.0,General C&D Debris,1070.06,1076.3,895.34,1396.01,1561.88,1055.34,1055.37,745.02,786.17,1194.31,1018.58,892.25,12746.63,NR,Transfer Facility
256,Sagaponack Sand & Gravel Corp,1.0,[52W176R],2019.0,Concrete,54.61,95.03,58.05,281.22,276.06,2896.05,245.1,389.15,184.47,563.52,137.6,63.21,5244.07,NR,Transfer Facility
257,Sagaponack Sand & Gravel Corp,1.0,[52W176R],2019.0,Soil,724.5,75.9,1470.62,489.9,1244.3,885.5,338.1,0.0,28.52,0.0,0.0,8.28,5265.62,NR,Transfer Facility
258,Sagaponack Sand & Gravel Corp,1.0,[52W176R],2019.0,Sand,1352.4,1439.34,0.0,0.0,0.0,0.0,14.72,0.0,0.0,0.0,0.0,0.0,2806.46,NR,Transfer Facility
259,Sagaponack Sand & Gravel Corp,1.0,[52W176R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.42,0.0,0.0,147.42,NR,Transfer Facility
